word,definition,pos
itimokpolo,,squabble
itimpalummi,,tournament
itimulaka,,fornicate
itimunli,o,communicate
itimunnumpoli,,recite
itinka,o,sylvan
itisholi,,grapple
itisukpa,,cheek
ititanachi,,introduce
itiyulbi,,lip
itkanomi,i,kinsfolk
itkna,i,friendship
itlomaka,i,amour
itnanaiya,i,peace
itnanaiyachi,i,peacemaker
itnayachi,i,mediate
itnukoa,i,fuss
itnukowa,i,quarrel
itokchi,,saliva
itola,,drop
itolummi,,stumble
itolut aiya,,reel
itpalummi,i,contest
ittachukussa,,cohere
ittakoba,,belly
ittakoba itopa,,indigestion
ittakoba keseli,,colic
ittakoba sukbish,,groin
ittakushkoli,,disburse
ittanapi,i,civil war
ittasita,,bet
itti halutli,,wed
itti halutli,,
itti maiya,,unequal
ittibachufa,,settle
ittibani,,blend
ittibi,,fighter
ittifama,,contact
ittihalutli,,wed
ittimelaiyuka,,underworld
ittimla,e,differ
ittimmi,,partner
ittimpulummi,,race
ittiyukli,,clinch
ittnukoa,i,bicker
ittnukowa,i,affray
ittola,,fall
ittola tok,,fell
itttakla,i,between
itttanupa,i,vendetta
itubi,,coffin
itulbish,,navel
iyakchush,,claw
iyasha,,kettle
iyasha ishto,,caldron
iyasha iskunno,,nog
iychamo,i,shank
iyi,,foot
iyi  takali,i,leg
iyi bieka,,barefoot
iyi im alikchi,,pedicure
iyi imosak,,ankle
iyi isht talukchi,,shackle
iyi lawa,,centipede
iyi lhefichi,,scuff
iyi shalachi,,shamble
iyi tikba,,forefoot
iyishki,,toe
iyitukchi,i,hobble
iyoshi,,toe
iyubi,,leg
iyukchush,,hoof
kamosha,i,abhor
kanema,i,mend
kanomi,i,relative
kasachi,i,rap
kashofa,i,forgiven
kashofa hebeka,i,venial
kashofi,i,forgive
kashofi,i,pardon
kashofi tok,i,forgave
katapa,i,abusive
katupli,i,head
ki,i,dad
ki iksho,i,fatherless
ki pila,i,paternal
ki toba,i,fatherhood
ki ubi,i,patricide
ki; (father) ishki; (mother),i,parent
kna,i,amity
kna keyu,i,unfriendly
kosoma,i,musk
kotoba,i,heel
kunia,i,lose
kunia tok,i,missing
kunutli,i,evade
kunutli,i,
kushofa,i,clemency
kushofi,i,amends
la,i,another
la hokia,i,else
la iksho,i,ordinary
la toba,i,transfigure
lakna,i,bile
lanchi,i,alter
lat toba,i,transmute
lat tohomba,i,transient
lchi,i,commute
lchit foki,i,transfuse
lchit ikbi,i,transform
lhakofi,i,err
lhakofi,i,blunder
lhakofi iksho,i,unmistakable
lhi,fact,(n)
lhi fehna,substantial,(v)
lhi ilahobi,imposter,(n)
lhi keyu,dishonest,(adj)
lhi la,uncouth,(adj)
lhinchi,emend,(v)
lhnchi,enforce,(v)
meha,i,reprehend
mmachi,i,accustom
mmachit taha,i,addict
mmaka,i,risk
nchi,robe,(n)
nochi,i,tie
nochi,i,kerchief
nochi homa,i,bandanna
nochishto,i,shawl
notaka,i,subservient
nuk illi,i,malice
nukfi,i,brother
nukfi toba,i,stepbrother
nukhklo,i,compassion
nukhklo tok,i,lenient
nukowa,i,rate
nunka ishto,i,coarse
oklhilika,i,nighted
pta,i,lease
sh,i,keep
shaka,behind,(prep)
shi,i,have
shi lhiha,i,recipient
shlachi,i,keep
shli,i,have
sipknika,i,forefather
slo,leech,(n)
takobi,i,dawdle
takobichi,i,disgust
tek,i,sister
tek toba,i,stepsister
tkba,i,ancestor
tukasha,i,spleen
tukshuchi,i,milt
tunup,i,foe
tushunkchi,i,gill
wa,i,summon
wa tok,i,called
word,definition,pos
word,word 2,definition
word,definition,pos
yachuka,i,crown
yaknasha,i,dwarf
yaknasha,i,fairy
yakni apilachi,i,patriot
yimmi,i,entrust
yuknasha,i,sprite
