word,definition,pos
atapachi,stop,(v)
atapolichi,decorate,(v)
atebutli,glance,(v)
atelepoha,shelf,(n)
atelifi,snub,(v)
atilipoha,rack,(n)
atkla,aftermath,(n)
atklo,twice,(adj)
atmpa,excess,(n)
atni,guardian,(n)
atnichi,commit,(v)
atoba,factory,(n)
atoba chi holba,sketch,(v)
atobi,defray,(v)
atobichi,instead,(adv)
atochi,pouch,(n)
atok,had,(v)
atokochi,shelter,(v)
atokoli,verify,(v)
atokoli,appoint,(v)
atokolichi,identify,(v)
atokot anli,express,(adj)
atoksuli,job,(n)
atoksuli fehna,industry,(n)
atoleya,ladder,(n)
atoloya,stair,(n)
atonachi,pawn,(v)
atoni,surety,(n)
atonichi,sponsor,(n)
atonochi,authority,(n)
atoplichi,force,(v)
atshpa,rush,(v)
atshpachi,compel,(v)
attkla walhachi,parboil,(v)
atuchina,third,(adj)
atukali,hinge,(n)
atuklama,busy,(adj)
atuklhakfa,playground,(n)
atuklnchi,encore,(n)
atuklo,second,(adj)
atuklsht,react,(v)
atuklsht achi,repeat,(v)
atuklsht afanachi,revise,(v)
atuklsht helichi,re-establish,(v)
atuklsht ikbi,rebuild,(v)
atukluma,disabled,(adj)
atuklumichi,rile,(v)
atuklumma,commotion,(n)
atuklummi,bore,(v)
atuklummichi,intrude,(v)
atukshila,thirst,(n)
atulhichi,hew,(v)
atulhichi,blaze (mark cut on tree),(n)
atumpa,splurge,(n)
atumplit anli,overstate,(v)
atumpohlit anli,exaggerate,(v)
atunachi,darn,(v)
atunna,loom,(n)
atupa,extreme,(adj)
atupechi,muleteer,(n)
atupli,check,(v)
atuplichi,muffle,(v)
awa-chufa,11,(n)
awa-chukali,19,(n)
awah chufa,eleven,(adj)
awah tuchina,eighteen,(n)
awah tuklo,twelve,(adj)
awa-hunali,16,(n)
awalakachi,flounce,(n)
awalhachi,skillet,(n)
awalhali,fried,(adj)
awa-oshta,14,(n)
awa-otuchina,18,(n)
awa-tuchina,13,(n)
awatuklo,seventeen,(adj)
awa-tuklo,12,(n)
awa-tulhapi,fifteen,(adj)
awekichi,scale,(n)
awulesht,following,(adj)
awulichi,follow,(v)
awushli,parch,(v)
ayapali,creep,(v)
ayehli,shampoo,(v)
ayokpolokachi,distort,(v)
ayolha,fortunate,(n)
ayolhepa,ruins,(n)
ayopisa,exhibition,(n)
ayopisa aboa,theater,(n)
ayopolachi,flatter,(v)
ayowa,extortion,(n)
aysha,space,(n)
ayukli fehna,exquisite,(adj)
ayukmichi,frigid,(adj)
ayukmichi,blizzard,(n)
ayukpa,amuse,(v)
ayukpa chukma,debonair,(adj)
ayukpa fehna,exultation,(n)
ayukpa mihli,bliss,(n)
ayukpachi,accept,(v)
ayukpachichi,enchant,(v)
ayukpachit isht anumpoli,eulogize,(v)
ayukpali,cordial,(adj)
ayukpanichi,devastate,(v)
ayukpchi,appreciate,(v)
ayukpchi keyu,unthankful,(adj)
ayukpoloka,damage,(v)
ayukpsht,obliging,(adj)
ayukpsht anli,recommend,(v)
ayukpsht ima,generous,(adj)
ayuksika,side,(adj)
ayulha,luck,(n)
ayummichi,system,(n)
ayushkummi,flirt,(v)
ayushkunapa,peril,(n)
ayushwachi,floured,(v)
bukhetipli,i,recoil
chafochi,skimp,(v)
chafochibinochi,chenille,(n)
chafochit hoyo,pick,(v)
chafochit upa,pick,(v)
chafohut ombinili,tuft,(n)
chaha,altitude,(n)
chaha holitopa,supernal,(adj)
chaha im maiya,superior,(adj)
chaha imaiya,highest,(adj)
chaha mimaiya,supreme,(adj)
chaha mulli,vault,(v)
chahachi,elevate,(v)
chahta,choctaw,(n)
chakafa,i,gizzard
